Brand,Zap Enter Date,Gaming Compability,Operating System,Two in One,Weight,Series,CPU type,RAM Capacity,CPU speed,CPU model,CPU generation,Hard drive capacity,Hard drive Type,Optical Drive,Screen Size,Screen Resolution,Screen Type,FPS,Touch Screen,GPU,Web camera,Secutiry,Connectors,Wifi modal,Cellular modem,Min price,Max price,Page number,Memory type
HP,2021,גיימינג,ללא,ללא,"1.74 ק""ג",לא רלוונטי,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,Bluetooth,"WiFi 6 , 802.11ax",לא כולל,"2,284","3,100",1,DDR4
Lenovo,2021,גיימינג,ללא,ללא,"1.64 ק""ג",ThinkPad E14,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,קורא טביעות אצבע,"RJ-45 , Thunderbolt , HDMI , Bluetooth , USB",802.11ax,לא כולל,"3,395","4,290",1,DDR4
Asus,מ 2022,גיימינג,Windows 11 Home,ללא,"1.8 ק""ג",VivoBook 15,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,OLED,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"3,590","4,240",1,DDR4
Dell,2021,גיימינג,Windows 10 PRO,ללא,"1.4 ק""ג",Latitude 5420,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,לא זמין,לא זמין,"RJ-45 , DisplayPort , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"3,680","5,000",1,DDR4
Asus,2021,גיימינג,ללא,ללא,"1.8 ק""ג",לא רלוונטי,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,047","2,529",1,DDR4
Dell,2021,גיימינג,Windows 11 Home,ללא,"1.73 ק""ג",Inspiron 3511,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,לא זמין,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , USB",לא זמין,לא כולל,"3,937","4,290",2,DDR4
Dell,2021,גיימינג,ללא,ללא,"1.73 ק""ג",Inspiron 3511,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,787","3,298",2,DDR4
Lenovo,מ 2022,גיימינג,Windows 11 Home,מסך מסתובב,"1.8 ק""ג",IdeaPad Flex 5,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,כולל,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"3,506","4,208",2,DDR4
Asus,2021,גיימינג,ללא,ללא,"1.6 ק""ג",לא רלוונטי,Intel Core i3,8 GB,2100Mhz,10110U,דור 10,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel HD Graphics 520,כולל,לא כולל,"Bluetooth , USB",802.11ac,לא כולל,"1,425","1,900",2,DDR4
Asus,2021,גיימינג,ChromeOS,ללא,"1 ק""ג",לא רלוונטי,Intel Celeron,4 GB,1100Mhz,N4020,דור 4,32 GB,eMMC,לא כולל,11.6 אינטש,1366x768,LCD,60 Hz,כולל,Intel UHD Graphics 600,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"1,278","1,685",2,DDR4
Lenovo,2021,גיימינג,ללא,ללא,"1.7 ק""ג",ThinkBook 15,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"RJ-45 , Thunderbolt , Card Reader , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"3,090","3,990",2,DDR4
Lenovo,2021,גיימינג,ללא,ללא,"1.9 ק""ג",ThinkPad E15,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,לא כולל,"Thunderbolt , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,897","3,490",2,DDR4
Dell,מ 2022,גיימינג,ללא,ללא,"1.69 ק""ג",Vostro 3510,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , אוזניות/מיקרופון , Bluetooth , USB",כולל,לא כולל,"2,562","2,999",2,DDR4
Lenovo,2021,גיימינג,ללא,ללא,"1.6 ק""ג",לא רלוונטי,Intel Core i5,8 GB,3600Mhz,1035G1,דור 10,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,לא כולל,"HDMI , Bluetooth , USB",802.11ac,לא כולל,"1,993","2,929",2,DDR4
Asus,מ 2022,גיימינג,Windows 11 Home,ללא,"1.17 ק""ג",ZenBook 14,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,לא זמין,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,כולל,מצלמת IR,"Thunderbolt , Card Reader , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"3,338","3,818",2,DDR4
Lenovo,מ 2022,גיימינג,Windows 11 Home,מסך מסתובב,"1.5 ק""ג",IdeaPad Flex 5,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,כולל,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"3,164","3,590",2,DDR4
Asus,מ 2022,גיימינג,Windows 11 Home,מסך מסתובב,"1.4 ק""ג",ZenBook 14 Flip,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,כולל,Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Thunderbolt , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"5,869","6,690",2,DDR4
Lenovo,2021,גיימינג,ללא,ללא,"1.65 ק""ג",IdeaPad 3,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,200","2,573",2,DDR4
Asus,מ 2022,גיימינג,ללא,ללא,"1.6 ק""ג",לא רלוונטי,Intel Core i3,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"1,629","1,990",2,DDR4
Lenovo,2021,גיימינג,ללא,ללא,"1.65 ק""ג",IdeaPad 3,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,029","2,429",2,DDR4
Asus,מ 2022,גיימינג,Windows 11 Home,ללא,"1.17 ק""ג",ZenBook 14,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,כולל,מצלמת IR,"Thunderbolt , Card Reader , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"3,641","4,490",2,DDR4
Dell,מ 2022,גיימינג,Windows 11 Home,ללא,"1.63 ק""ג",Inspiron 5510,Intel Core i5,8 GB,3100Mhz,11300H,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"3,076","3,790",2,DDR4
HP,2021,גיימינג,Windows  10,ללא,"1.75 ק""ג",לא רלוונטי,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,NVIDIA GeForce MX350,כולל,לא כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",WiFi 6,לא כולל,"2,979","3,605",2,DDR4
Apple,2021,גיימינג,MacOS,ללא,"1.4 ק""ג",MacBook Pro,M1,8 GB,לא זמין,לא זמין,לא זמין,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,LED,60 Hz,ללא,לא זמין,1 מגה פיקסל,קורא טביעות אצבע,"Thunderbolt , אוזניות/מיקרופון , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"5,488","6,189",2,לא זמין
Dell,2021,גיימינג,Windows 11 Home,ללא,"1.63 ק""ג",Vostro 5510,Intel Core i7,16 GB,3300Mhz,11370H,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"3,889","4,949",2,DDR4
Lenovo,2021,גיימינג,Windows 11 Home,ללא,"1.65 ק""ג",IdeaPad 3,AMD Ryzen 3,8 GB,2600Mhz,5300U,דור 4,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Integrated AMD Radeon Graphics,1 מגה פיקסל,מצלמת IR,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"1,890","2,500",2,DDR4
Lenovo,2020,גיימינג,ללא,ללא,"1.59 ק""ג",לא זמין,Intel Core i3,8 GB,1200Mhz,1005G1,דור 10,256 GB,SSD,לא כולל,14 אינטש,1920x1080,לא זמין,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"HDMI , USB",כולל,לא כולל,"1,452","1,990",2,DDR4
Dell,2021,גיימינג,Windows 10 PRO,ללא,"1.78 ק""ג",Latitude 3520,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , DisplayPort , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"3,387","4,120",2,DDR4
Asus,2021,גיימינג,ללא,ללא,"1.8 ק""ג",לא רלוונטי,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"1,685","2,280",2,DDR4
Asus,2021,גיימינג,Windows 11 Home,ללא,"1.45 ק""ג",לא רלוונטי,AMD Ryzen 7,8 GB,3200MHz,5800H,דור 4,512 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,ללא,AMD Radeon  Graphics,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"3,390","4,690",3,DDR4
HP,2021,גיימינג,ללא,ללא,"1.69 ק""ג",לא רלוונטי,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,לא כולל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"1,799","2,308",3,DDR4
Lenovo,2021,גיימינג,ללא,ללא,"1.39 ק""ג",ThinkPad L13,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,13.3 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Thunderbolt , Card Reader , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"3,598","4,685",3,DDR4
Asus,2021,גיימינג,ChromeOS,ללא,"0.99 ק""ג",לא רלוונטי,Intel Celeron,4 GB,1100Mhz,N3350,דור 3,32 GB,eMMC,לא כולל,11.6 אינטש,1366x768,LCD,60 Hz,ללא,Intel HD Graphics 500,1 מגה פיקסל,לא כולל,"Card Reader , USB-C , Bluetooth , USB",802.11ac,לא כולל,823,959,3,DDR4
HP,2021,גיימינג,Windows 10 PRO,ללא,"1.74 ק""ג",לא רלוונטי,Intel Core i7,8 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,לא זמין,1 מגה פיקסל,לא כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"3,098","3,868",3,DDR4
Lenovo,2021,גיימינג,ללא,ללא,"1.64 ק""ג",ThinkPad E14,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,קורא טביעות אצבע,"RJ-45 , Thunderbolt , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,801","3,714",3,DDR4
Asus,מ 2022,גיימינג,Windows  10,מסך מסתובב,"1.4 ק""ג",ZenBook 14 Flip,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,2880X1800,LCD,60 Hz,כולל,Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Thunderbolt , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"4,948","5,499",3,DDR4
Asus,2021,גיימינג,ללא,ללא,"1.6 ק""ג",לא רלוונטי,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,082","2,590",3,DDR4
Lenovo,2021,גיימינג,Windows  10,ללא,"1.39 ק""ג",IdeaPad 5,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,256 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel UHD Graphics,1 מגה פיקסל,קורא טביעות אצבע,"DisplayPort , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"1,889","2,579",3,DDR4
Asus,2021,גיימינג,ללא,ללא,"1.6 ק""ג",לא רלוונטי,Intel Core i7,8 GB,2800Mhz,1165G7,דור 11,1000 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,790","3,219",3,DDR4
Lenovo,מ 2022,גיימינג,Windows 10 PRO,ללא,"1.4 ק""ג",ThinkBook 14,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"RJ-45 , Thunderbolt , Card Reader , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"3,083","3,499",3,DDR4
Asus,2021,גיימינג,ללא,ללא,"1.6 ק""ג",לא רלוונטי,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"2,148","3,090",3,DDR4
Apple,2021,גיימינג,MacOS,ללא,"1.29 ק""ג",MacBook Air,M1,8 GB,יעודכן בקרוב,יעודכן בקרוב,יעודכן בקרוב,512 GB,SSD,לא כולל,13.3 אינטש,2560x1600,"LED , IPS",60 Hz,ללא,יעודכן בקרוב,כולל,לא זמין,"Bluetooth , USB",802.11ax,לא כולל,"5,442","6,750",3,יעודכן בקרוב
HP,2021,גיימינג,Windows  10,ללא,"1.41 ק""ג",Pavilion,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,ללא,Intel Iris Xe Graphics,כולל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","802.11b , 802.11a , 802.11g , 802.11n , 802.11ac",לא כולל,"2,980","3,445",3,DDR4
Dell,2021,גיימינג,Windows 11 Home,ללא,"1.73 ק""ג",Inspiron 3511,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,1000 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,לא כולל,"אוזניות/מיקרופון , HDMI , USB",לא זמין,לא כולל,"3,199","4,249",3,DDR4
Asus,מ 2022,גיימינג,Windows 11 Home,ללא,"1.45 ק""ג",VivoBook Pro,Intel Core i7,16 GB,3300Mhz,11370H,דור 11,1000 GB,SSD,לא כולל,14 אינטש,2880X1800,OLED,60 Hz,ללא,NVIDIA GeForce RTX 3050,1 מגה פיקסל,קורא טביעות אצבע,"Thunderbolt , Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ax,לא כולל,"5,225","6,059",3,DDR4
